zone,commissionerate,division,range,hsn4,chapter2,taxable_y1,taxable_y2,taxable_y3,share_original,yoy_change,mean_3yr,sd_3yr,cv_volatility,cagr_3yr,share_y3_computed
DELHI,DELHI EAST,All Divisions,All Ranges,9876,98,38863.54,9242.08,81388.93,2.169e-08,7.806343,43164.85,29610.447953582192,0.6859851928961225,0.4471431423896228,2.1695931117012234e-08
DELHI,DELHI EAST,All Divisions,All Ranges,8745,87,32101.24,6462.5,68802.2,1.834e-08,9.646375,35788.64666666667,25583.292399096892,0.7148438061203644,0.4639972414025013,1.8340673503127502e-08
DELHI,DELHI EAST,All Divisions,All Ranges,1506,15,1292703.18,174495.0,68366.8,1.822e-08,-0.608201,511854.99333333335,553840.3600763648,1.0820259004793757,-0.7700289237240934,1.8224608475508306e-08
DELHI,DELHI EAST,All Divisions,All Ranges,1025,10,5441.31,18226.75,67039.93,1.787e-08,2.678106,30235.996666666662,26542.594706141463,0.8778475205814218,2.510064051702177,1.7870903369405667e-08
DELHI,DELHI EAST,All Divisions,All Ranges,2326,23,2858.0,61319.0,66988.25,1.785e-08,0.092455,43721.75,28987.579488894895,0.6630013549067659,3.8413692116225784,1.7857126978437913e-08
DELHI,DELHI EAST,All Divisions,All Ranges,2395,23,,,66800.42,1.78e-08,,66800.42,0.0,0.0,,1.78070569413738e-08
DELHI,DELHI EAST,All Divisions,All Ranges,0211,02,196735.2,55850.53,119647.04,3.189e-08,1.142272,124077.59000000001,57601.18569514057,0.46423520714047206,-0.22015203381080073,3.189443500724739e-08
DELHI,DELHI EAST,All Divisions,All Ranges,8006,80,943186.26,3552409.75,66510.0,1.772e-08,-0.981277,1520702.0033333332,1480544.402601265,0.9735927218849953,-0.7344509566638262,1.7729639382069326e-08
DELHI,DELHI EAST,All Divisions,All Ranges,1649,16,,,99593.75,2.654e-08,,99593.75,0.0,0.0,,2.6548808783761346e-08
DELHI,DELHI EAST,All Divisions,All Ranges,6061,60,1175.24,,66304.71,1.767e-08,,33739.975000000006,32564.735000000004,0.9651677275990868,6.511192764502574,1.767491501477501e-08
DELHI,DELHI EAST,All Divisions,All Ranges,2663,26,256.19,,66276.95,1.766e-08,,33266.57,33010.38,0.9922988754175738,15.084226133132088,1.766751500290843e-08
DELHI,DELHI EAST,All Divisions,All Ranges,9772,97,,,66234.0,1.765e-08,,66234.0,0.0,0.0,,1.7656065777055777e-08
DELHI,DELHI EAST,All Divisions,All Ranges,1951,19,393.23,,42574.23,1.134e-08,,21483.730000000003,21090.500000000004,0.9816963814011813,9.405191544976892,1.1349056455710081e-08
DELHI,DELHI EAST,All Divisions,All Ranges,3538,35,48484.02,53331.06,66062.71,1.761e-08,0.238728,55959.26333333333,7413.1943227389465,0.1324748376078625,0.1672903137643551,1.761040482487183e-08
DELHI,DELHI EAST,All Divisions,All Ranges,0476,04,,,66036.05,1.76e-08,,66036.05,0.0,0.0,,1.760329804114117e-08
DELHI,DELHI EAST,All Divisions,All Ranges,1911,19,49547.75,5136.33,166108.39,4.427e-08,31.339898,73597.49,67881.23707727392,0.9223308713010989,0.8309809070100103,4.4279685055422205e-08
DELHI,DELHI EAST,All Divisions,All Ranges,3198,31,,,98664.94,2.63e-08,,98664.94,0.0,0.0,,2.6301214942918467e-08
DELHI,DELHI EAST,All Divisions,All Ranges,8561,85,201397.97,49507.96,65711.86,1.751e-08,0.327298,105539.26333333332,68104.38227043854,0.6452990111873235,-0.4287919283652364,1.7516878378063843e-08
DELHI,DELHI EAST,All Divisions,All Ranges,2971,29,,,106786.66,2.846e-08,,106786.66,0.0,0.0,,2.8466230230275858e-08
DELHI,DELHI EAST,All Divisions,All Ranges,7232,72,2168631.67,67650.17,95847.63,2.555e-08,0.416812,777376.4899999999,983833.3212813498,1.2655815218715323,-0.7897684988222848,2.5550201706901363e-08
DELHI,DELHI EAST,All Divisions,All Ranges,1272,12,,,65471.18,1.745e-08,,65471.18,0.0,0.0,,1.7452720061923767e-08
DELHI,DELHI EAST,All Divisions,All Ranges,3063,30,,,73780.26,1.966e-08,,73780.26,0.0,0.0,,1.9667680097959918e-08
DELHI,DELHI EAST,All Divisions,All Ranges,1205,12,222009.6,366964558.5500001,121432.39,3.237e-08,-0.999669,122436000.18000002,172907806.69251978,1.412230115638524,-0.2604264099968653,3.237035760040297e-08
DELHI,DELHI EAST,All Divisions,All Ranges,3189,31,,304605.0,65295.0,1.74e-08,-0.78564,184950.0,119655.0,0.6469586374695864,,1.740575557739012e-08
DELHI,DELHI EAST,All Divisions,All Ranges,0372,03,53750.0,32985.0,65025.85,1.733e-08,0.971376,50586.950000000004,13270.46045816296,0.26232972057344744,0.09990147550312578,1.7334007983950275e-08
DELHI,DELHI EAST,All Divisions,All Ranges,8227,82,421486.69,1253683.38,71460.79,1.904e-08,-0.942999,582210.2866666666,495840.4440749591,0.8516518093725182,-0.5882420679151794,1.9049376584841166e-08
DELHI,DELHI EAST,All Divisions,All Ranges,8077,80,13898.34,77443.58,66675.63,1.777e-08,-0.139042,52672.51666666666,27767.6642750044,0.5271755752763742,1.190292409311406,1.7773791542208438e-08
DELHI,DELHI EAST,All Divisions,All Ranges,8241,82,54417.54,31425.51,68758.52,1.832e-08,1.187984,51533.85666666667,15376.933614784482,0.2983850736079423,0.1240711654094091,1.832902968042101e-08
DELHI,DELHI EAST,All Divisions,All Ranges,2498,24,,,64543.84,1.72e-08,,64543.84,0.0,0.0,,1.7205518080498895e-08
DELHI,DELHI EAST,All Divisions,All Ranges,4619,46,76195.92,191556.83,78524.91,2.093e-08,-0.590069,115425.88666666667,53841.102317977806,0.466456042685322,0.015167872729869414,2.0932466348059683e-08
DELHI,DELHI EAST,All Divisions,All Ranges,3671,36,,,41440.96,1.104e-08,,41440.96,0.0,0.0,,1.1046959501529991e-08
DELHI,DELHI EAST,All Divisions,All Ranges,6118,61,51273.85,343541.26,232270.37,6.191e-08,-0.323893,209028.49333333332,120444.17340347197,0.5762093553982719,1.1283788842022946,6.191655238670597e-08
DELHI,DELHI EAST,All Divisions,All Ranges,7362,73,27337.48,69061.02,64257.28,1.712e-08,-0.069557,53551.926666666666,18639.865700992115,0.34807086992435843,0.5331404066663001,1.712912948538048e-08
DELHI,DELHI EAST,All Divisions,All Ranges,0118,01,3093.3,66473.16,172760.4,4.605e-08,1.598949,80775.62,70000.72131600359,0.8666070445018385,6.473276996864561,4.605291823037212e-08
DELHI,DELHI EAST,All Divisions,All Ranges,0366,03,5499.98,,64185.4,1.71e-08,,34842.69,29342.710000000003,0.8421482382674816,2.416155026349821,1.7109968359553037e-08
DELHI,DELHI EAST,All Divisions,All Ranges,9649,96,,1398.33,64127.12,1.709e-08,44.859789,32762.725000000002,31364.395,0.9573194842614586,,1.7094432599769742e-08
DELHI,DELHI EAST,All Divisions,All Ranges,9680,96,14072.9,85105.46,64087.98,1.708e-08,-0.246958,54422.113333333335,29793.487866218165,0.5474518728027743,1.1340101993696066,1.7083999009551516e-08
DELHI,DELHI EAST,All Divisions,All Ranges,2230,22,2116.05,16556.65,96000.0,2.559e-08,4.798274,38224.23333333333,41276.8065829616,1.0798596331026027,5.735543632536485,2.5590819135147428e-08
DELHI,DELHI EAST,All Divisions,All Ranges,3084,30,81041.1,38312.3,73068.59,1.947e-08,0.907183,64140.66333333333,18551.163364850076,0.2892262474499418,-0.050461234390254406,1.9477969491148353e-08
DELHI,DELHI EAST,All Divisions,All Ranges,5447,54,60000.0,2288914.5,229690.0,6.122e-08,-0.899651,859534.8333333334,1013095.3715009866,1.1786553984928514,0.9565701282260921,6.12287004911668e-08
DELHI,DELHI EAST,All Divisions,All Ranges,0328,03,173072.21,89350.0,63800.0,1.7e-08,-0.285954,108740.73666666665,46669.79373519188,0.4291840865328442,-0.3928490628449407,1.7007231883566728e-08
DELHI,DELHI EAST,All Divisions,All Ranges,8898,88,,,63606.0,1.695e-08,,63606.0,0.0,0.0,,1.6955517103231116e-08
DELHI,DELHI EAST,All Divisions,All Ranges,6311,63,9925549.049999999,128489.28,358466.56,9.555e-08,1.789855,3470834.963333333,4565137.664429473,1.3152851439658166,-0.8099591106538568,9.55568010724841e-08
DELHI,DELHI EAST,All Divisions,All Ranges,8224,82,292705.88,260589.52,64921.48,1.73e-08,-0.750866,206072.29333333333,100666.21155551162,0.48849949659500536,-0.5290460080277017,1.730618596527178e-08
DELHI,DELHI EAST,All Divisions,All Ranges,8586,85,1410944.61,335831.04,63251.05,1.686e-08,-0.811658,603342.2333333334,581802.4646649619,0.9642992525993598,-0.7882717113163109,1.6860897715189236e-08
DELHI,DELHI EAST,All Divisions,All Ranges,0941,09,4500.0,46724.95,75804.71,2.02e-08,0.62236,42343.22,29274.449444190523,0.6913609650893465,3.1043259021562983,2.0207339825023976e-08
DELHI,DELHI EAST,All Divisions,All Ranges,9891,98,348860.05,296.61,63194.83,1.684e-08,212.056977,137450.49666666667,151678.4888071734,1.1035135738724264,-0.5743867344786704,1.6845911091733217e-08
DELHI,DELHI EAST,All Divisions,All Ranges,1339,13,,,63181.61,1.684e-08,,63181.61,0.0,0.0,,1.684238702268148e-08
DELHI,DELHI EAST,All Divisions,All Ranges,7717,77,397967.42,39147.86,168852.02,4.501e-08,3.313186,201989.09999999998,148349.62917118735,0.7344437356827045,-0.3486275732814099,4.5011057337753084e-08
DELHI,DELHI EAST,All Divisions,All Ranges,7234,72,5560.0,14865.0,308972.77,8.236e-08,19.785251,109799.25666666667,140888.1638425969,1.2831431479569235,6.454571891552924,8.236319036203651e-08
DELHI,DELHI EAST,All Divisions,All Ranges,1295,12,,,62940.0,1.677e-08,,62940.0,0.0,0.0,,1.6777980795481033e-08
DELHI,DELHI EAST,All Divisions,All Ranges,2353,23,,,62870.47,1.675e-08,,62870.47,0.0,0.0,,1.6759446111580336e-08
DELHI,DELHI EAST,All Divisions,All Ranges,0890,08,669266.37,11561.47,62851.9,1.675e-08,4.436324,247893.24666666667,298690.65251880314,1.2049164571249573,-0.6935499446750184,1.6754495887503882e-08
DELHI,DELHI EAST,All Divisions,All Ranges,1884,18,550.0,48690.25,62619.38,1.669e-08,0.286076,37286.543333333335,26591.79544772702,0.7131740588019204,9.670211721508537,1.6692512790990292e-08
DELHI,DELHI EAST,All Divisions,All Ranges,3240,32,385855.4,199746.07,116167.46,3.096e-08,-0.418424,233922.97666666665,112720.72260632303,0.48187110224296925,-0.45130632298199147,3.096687977343202e-08
DELHI,DELHI EAST,All Divisions,All Ranges,8914,89,36000.0,50048.28,55376.93,1.476e-08,0.10647,47141.736666666664,8173.222525117549,0.17337550762945764,0.24026128519580725,1.4761885415517913e-08
DELHI,DELHI EAST,All Divisions,All Ranges,9355,93,98410.0,136990.0,62515.0,1.666e-08,-0.543652,99305.0,30410.87716590891,0.3062371196405912,-0.2029739761623056,1.6664688106601473e-08
DELHI,DELHI EAST,All Divisions,All Ranges,7848,78,58344.76,12500.0,93750.0,2.499e-08,6.5,54864.920000000006,33261.314764745344,0.6062401032343679,0.2676072350977925,2.499103431166741e-08
DELHI,DELHI EAST,All Divisions,All Ranges,7300,73,9690.04,15944.1,71357.14,1.902e-08,3.475457,32330.426666666666,27713.91445733272,0.8572084353562317,1.7136631216497196,1.9021746497306187e-08
DELHI,DELHI EAST,All Divisions,All Ranges,1563,15,14081.76,60000.0,62259.12,1.659e-08,0.037652,45446.96,22197.71360709026,0.48843120875610296,1.1026792058037969,1.6596477910764998e-08
DELHI,DELHI EAST,All Divisions,All Ranges,3567,35,,2288.0,62042.38,1.653e-08,26.116424,32165.19,29877.19,0.9288672008466295,,1.653870130514675e-08
DELHI,DELHI EAST,All Divisions,All Ranges,3773,37,1650.0,,61744.13,1.645e-08,,31697.065,30047.065,0.9479447071834569,5.1172448740004555,1.6459196494656566e-08
