S.No,Zone,Commissionerate,Division,Range,HSN Code,Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3
2376,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0352,35,,1872.260000000,-0.838546
2377,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6195,61,,6720.000000000,-
2378,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4516,45,,1862.720000000,0.000913
2379,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8281,82,,1860.000000000,-
2380,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0807,80,,1869274.720000000,0.245091
2381,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3291,32,,1845.000000000,-
2382,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0515,51,,6634.300000000,-
2383,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0706,70,,634334.140000000,-0.762394
2384,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1035,10,,1835.590000000,-0.965561
2385,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1500,15,,1171.870000000,-0.998739
2386,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0714,71,,1201809.530000000,3.637585
2387,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4923,49,,1800.000000000,-
2388,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3419,34,,1790.000000000,-
2389,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8520,85,,1789.840000000,-0.982318
2390,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8726,87,,1779.660000000,-
2391,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7277,72,,10608.000000000,-
2392,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,9440,94,,2642.840000000,-0.705473
2393,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2107,21,,2649.910000000,2.851837
2394,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7808,78,,1132.740000000,-0.996594
2395,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,5412,54,,1760.190000000,-0.999526
2396,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8729,87,,1759.530000000,-0.894335
2397,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2390,23,,1750.000000000,-0.993380
2398,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,9586,95,,1743.020000000,-
2399,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,9540,95,,1740.000000000,-
2400,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1336,13,,1116.400000000,-0.454272
2401,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3420,34,,1830.270000000,-
2402,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3541,35,,6175.260000000,-0.380609
2403,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0307,30,,1823.650000000,-0.921705
2404,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2065,20,,6142.800000000,-
2405,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,5611,56,,1700.000000000,-
2406,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3388,33,,2510.710000000,-
2407,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3033,30,,2509.640000000,-0.913460
2408,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8688,86,,1657.640000000,-0.429399
2409,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4026,40,,2471.430000000,-
2410,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8139,81,,5905.720000000,-
2411,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,9509,95,,2456.320000000,0.138349
2412,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3245,32,,1629.700000000,-
2413,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7716,77,,2400.000000000,-0.750000
2414,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8488,84,,1600.000000000,-
2415,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,5577,55,,2956.170000000,-
2416,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4229,42,,1570.000000000,-0.502906
2417,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4714,47,,1564.000000000,-
2418,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8241,82,,1550.000000000,-
2419,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0843,84,,1540.000000000,-0.989612
2420,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0071,71,,10705489.710000000,0.840104
2421,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0079,79,,1530.000000000,-
2422,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8745,87,,1524.580000000,-
2423,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3517,35,,1514.910000000,-
2424,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6138,61,,5452.590000000,-0.466781
2425,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7990,79,,1509.320000000,-
2426,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4917,49,,1500.000000000,-
2427,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3426,34,,1496.000000000,-
2428,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8926,89,,1440.000000000,-0.454545
2429,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0015,15,,5367.570000000,0.048820
2430,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6408,64,,2640.000000000,-0.939240
2431,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3834,38,,1470.000000000,-
2432,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6920,69,,1450.000000000,-0.903366
2433,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,9171,91,,1446.750000000,-
2434,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6965,69,,1438.980000000,-
2435,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4023,40,,5100.000000000,-
2436,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7291,72,,8495.000000000,-
2437,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0880,88,,1408.470000000,-
2438,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4512,45,,1405.080000000,-0.994293
2439,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3566,35,,1404.400000000,-0.988804
2440,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8239,82,,1400.000000000,-0.792592
2441,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8800,88,,1400.000000000,-
2442,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6409,64,,1398.300000000,-0.972833
2443,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,5457,54,,5000.000000000,-0.950281
2444,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0407,40,,20040893.750000000,-0.308171
2445,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2528,25,,1350.000000000,-
2446,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0662,66,,4800.000000000,-
2447,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4280,42,,2000.000000000,-0.166666
2448,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,5562,55,,1330.000000000,-
2449,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,5700,57,,1300.000000000,-
2450,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,9518,95,,1295.000000000,-
2451,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6953,69,,4590.000000000,-
2452,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3512,35,,1271.160000000,-
2453,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6139,61,,4566.650000000,-0.645210
2454,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4399,43,,1254.400000000,-
2455,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6136,61,,4511.860000000,-0.686015
2456,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2196,21,,1875.000000000,-
2457,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7195,71,,7498.000000000,-
2458,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0337,33,,1238.140000000,0.201890
2459,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0120,12,,4453.290000000,-0.984032
2460,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3008,30,,1588.880000000,-10.124676
2461,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3524,35,,1186.440000000,-
2462,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1215,12,,4244.900000000,-
2463,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,9212,92,,4149.560000000,-0.909023
2464,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7281,72,,6796.000000000,-
2465,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1918,19,,1327.970000000,-
2466,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8567,85,,1106.330000000,-0.597715
2467,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8098,80,,1101.690000000,-
2468,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4824,48,,1100.000000000,-0.890635
2469,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,9225,92,,1095.000000000,-
2470,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8678,86,,1088.660000000,-
2471,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0871,87,,686.720000000,-0.968009
2472,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4536,45,,1050.000000000,-
2473,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4564,45,,674.050000000,1.150079
2474,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8181,81,,1044.060000000,-0.965616
2475,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3462,34,,1039.750000000,-
2476,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2800,28,,1550.100000000,-0.933676
2477,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3349,33,,1029.670000000,-
2478,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,9053,90,,1537.500000000,-0.954289
2479,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3490,34,,1537.010000000,-
2480,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8073,80,,1016.960000000,17.463326
2481,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7881,78,,1016.900000000,-
2482,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6143,61,,3653.330000000,-0.571590
2483,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6148,61,,3653.330000000,-0.571875
2484,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7293,72,,6000.000000000,-
2485,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6280,62,,3600.000000000,-
2486,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,9888,98,,1481.250000000,-0.999156
2487,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3415,34,,985.000000000,0.255977
2488,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,9081,90,,3020.610000000,-0.998838
2489,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,9808,98,,988.450000000,-0.932606
2490,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8058,80,,628.900000000,-
2491,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6554,65,,970.340000000,-
2492,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2338,23,,960.000000000,-
2493,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3856,38,,953.440000000,-
2494,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8339,83,,949.140000000,-0.111109
2495,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1037,10,,1380.000000000,-
2496,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7809,78,,915.240000000,-
2497,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4503,45,,915.000000000,-0.994056
2498,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2568,25,,913.560000000,-
2499,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2206,22,,1350.000000000,-
2500,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1611,16,,900.000000000,-0.924978
2501,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7240,72,,5388.000000000,-
2502,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2215,22,,3225.000000000,-
2503,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4506,45,,902.420000000,-
