S.No,Zone,Commissionerate,Division,Range,HSN Code,Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3
91,DELHI,DELHI EAST,All Divisions,All Ranges,3921,39,,6442637177.9499989,-7.6171000000000003E-2
92,DELHI,DELHI EAST,All Divisions,All Ranges,3208,32,,6413836734.9799995,6.1592000000000001E-2
93,DELHI,DELHI EAST,All Divisions,All Ranges,9030,90,,6482037976.0699997,0.102018
94,DELHI,DELHI EAST,All Divisions,All Ranges,4707,47,,22639619253.459999,0.14000000000000001
95,DELHI,DELHI EAST,All Divisions,All Ranges,7216,72,,6178266954.5599995,0.48158400000000001
96,DELHI,DELHI EAST,All Divisions,All Ranges,3002,30,,13037888549.110001,0.51293900000000003
97,DELHI,DELHI EAST,All Divisions,All Ranges,3907,39,,5960683354.7099991,4.3748000000000002E-2
98,DELHI,DELHI EAST,All Divisions,All Ranges,5209,52,,21272305680.75,-7.9991999999999994E-2
99,DELHI,DELHI EAST,All Divisions,All Ranges,3822,38,,9379352674.9400005,7.0429000000000005E-2
100,DELHI,DELHI EAST,All Divisions,All Ranges,9027,90,,5672802750.210001,-7.2424000000000002E-2
101,DELHI,DELHI EAST,All Divisions,All Ranges,2105,21,,5488436530.6999998,-1.0177E-2
102,DELHI,DELHI EAST,All Divisions,All Ranges,8537,85,,5686782607.8499994,-5.9490000000000001E-2
103,DELHI,DELHI EAST,All Divisions,All Ranges,8413,84,,5503980409.0699987,5.8560000000000001E-3
104,DELHI,DELHI EAST,All Divisions,All Ranges,8538,85,,5302538201.75,1.1967999999999999E-2
105,DELHI,DELHI EAST,All Divisions,All Ranges,3401,34,,5120341787.6499996,-0.11011700000000001
106,DELHI,DELHI EAST,All Divisions,All Ranges,8541,85,,8082886276.0899992,0.14884
107,DELHI,DELHI EAST,All Divisions,All Ranges,6211,62,,14856608929.870001,-0.14840100000000001
108,DELHI,DELHI EAST,All Divisions,All Ranges,7210,72,,4949709412.6599989,0.16508900000000001
109,DELHI,DELHI EAST,All Divisions,All Ranges,3506,35,,4858128998.3700008,3.4625000000000003E-2
110,DELHI,DELHI EAST,All Divisions,All Ranges,7318,73,,4898499251.8100014,0.278304
111,DELHI,DELHI EAST,All Divisions,All Ranges,5903,59,,7254059778.3100014,0.12328
112,DELHI,DELHI EAST,All Divisions,All Ranges,6907,69,,4775043763.3600006,-0.119864
113,DELHI,DELHI EAST,All Divisions,All Ranges,7409,74,,4791068854.0999994,0.129354
114,DELHI,DELHI EAST,All Divisions,All Ranges,3919,39,,4827986429.2299986,-6.0200999999999998E-2
115,DELHI,DELHI EAST,All Divisions,All Ranges,4823,48,,4842766046.7300014,1.5413E-2
116,DELHI,DELHI EAST,All Divisions,All Ranges,7502,75,,4716315670.1400013,0.71448900000000004
117,DELHI,DELHI EAST,All Divisions,All Ranges,8479,84,,4714361575.0299997,-4.1371999999999999E-2
118,DELHI,DELHI EAST,All Divisions,All Ranges,6104,61,,11289264140.65,-3.8027999999999999E-2
119,DELHI,DELHI EAST,All Divisions,All Ranges,4411,44,,4473377795.9100008,4.2757999999999997E-2
120,DELHI,DELHI EAST,All Divisions,All Ranges,9606,96,,4522193311.500001,0.46863700000000003
121,DELHI,DELHI EAST,All Divisions,All Ranges,1806,18,,4399197948.3999996,5.8930000000000003E-2
122,DELHI,DELHI EAST,All Divisions,All Ranges,3808,38,,4460853710.2300014,0.316915
123,DELHI,DELHI EAST,All Divisions,All Ranges,8302,83,,4363663241.0100002,-0.229711
124,DELHI,DELHI EAST,All Divisions,All Ranges,8543,85,,4365162457.3399992,1.3801000000000001E-2
125,DELHI,DELHI EAST,All Divisions,All Ranges,9503,95,,5716533837.3400011,-5.0888999999999997E-2
126,DELHI,DELHI EAST,All Divisions,All Ranges,6404,64,,4964982035.5200005,-0.107739
127,DELHI,DELHI EAST,All Divisions,All Ranges,9031,90,,4196240557.6199989,0.160581
128,DELHI,DELHI EAST,All Divisions,All Ranges,6206,62,,12880828627.24,0.183785
