S.No,Zone,Commissionerate,Division,Range,HSN Code,Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3
176,DELHI,DELHI EAST,MANDOLI,All Ranges,7220,72,,228241361.100000000,-0.585379
177,DELHI,DELHI EAST,MANDOLI,All Ranges,9608,96,,219300001.630000000,0.222769
178,DELHI,DELHI EAST,MANDOLI,All Ranges,3303,33,,219026675.360000000,-0.067591
179,DELHI,DELHI EAST,MANDOLI,All Ranges,3206,32,,211973194.770000100,1.403257
180,DELHI,DELHI EAST,MANDOLI,All Ranges,8541,85,,231249102.070000000,0.125563
181,DELHI,DELHI EAST,MANDOLI,All Ranges,7307,73,,211204199.910000000,-0.384517
182,DELHI,DELHI EAST,MANDOLI,All Ranges,8424,84,,216356916.970000000,-0.250461
183,DELHI,DELHI EAST,MANDOLI,All Ranges,7326,73,,210653016.890000000,-0.085919
184,DELHI,DELHI EAST,MANDOLI,All Ranges,4820,48,,267623613.430000100,0.071323
185,DELHI,DELHI EAST,MANDOLI,All Ranges,8431,84,,210971854.320000100,-0.193147
186,DELHI,DELHI EAST,MANDOLI,All Ranges,8525,85,,195747609.370000100,0.301266
187,DELHI,DELHI EAST,MANDOLI,All Ranges,7802,78,,194619574.220000000,1.218075
188,DELHI,DELHI EAST,MANDOLI,All Ranges,8531,85,,195250780.760000100,1.038401
189,DELHI,DELHI EAST,MANDOLI,All Ranges,7314,73,,193765639.840000000,0.072402
190,DELHI,DELHI EAST,MANDOLI,All Ranges,7223,72,,192416387.800000000,1.049536
191,DELHI,DELHI EAST,MANDOLI,All Ranges,1516,15,,570937819.040000000,0.209922
192,DELHI,DELHI EAST,MANDOLI,All Ranges,5208,52,,667828518.250000000,0.043437
193,DELHI,DELHI EAST,MANDOLI,All Ranges,2907,29,,184407595.070000000,0.835794
194,DELHI,DELHI EAST,MANDOLI,All Ranges,6406,64,,184756026.100000100,1.720195
195,DELHI,DELHI EAST,MANDOLI,All Ranges,7615,76,,268218174.100000100,-0.032872
196,DELHI,DELHI EAST,MANDOLI,All Ranges,8483,84,,183630544.590000000,0.294085
197,DELHI,DELHI EAST,MANDOLI,All Ranges,9603,96,,227978338.240000000,-0.050110
198,DELHI,DELHI EAST,MANDOLI,All Ranges,8419,84,,182092733.430000000,-0.217000
199,DELHI,DELHI EAST,MANDOLI,All Ranges,8477,84,,183378515.810000000,2.017802
200,DELHI,DELHI EAST,MANDOLI,All Ranges,2714,27,,175847388.500000000,0.068889
201,DELHI,DELHI EAST,MANDOLI,All Ranges,7013,70,,174038236.960000000,-0.678704
202,DELHI,DELHI EAST,MANDOLI,All Ranges,6903,69,,176435140.030000100,0.146532
203,DELHI,DELHI EAST,MANDOLI,All Ranges,9026,90,,174101582.020000100,0.369487
204,DELHI,DELHI EAST,MANDOLI,All Ranges,9402,94,,173013300.660000000,0.012956
205,DELHI,DELHI EAST,MANDOLI,All Ranges,3925,39,,171963577.640000000,0.056517
206,DELHI,DELHI EAST,MANDOLI,All Ranges,7213,72,,172845423.760000000,0.739446
207,DELHI,DELHI EAST,MANDOLI,All Ranges,8455,84,,170494152.780000000,3.317780
208,DELHI,DELHI EAST,MANDOLI,All Ranges,2902,29,,168860817.170000000,-0.012745
